Days  Uninfected Infected  Recovered  Deaths
0   4599889   106   0   0
2   4599845   150   0   0
4   4599795   200   0   0
6   4599728   267   0   0
8   4599647   348   0   0
10   4599558   437   0   0
12   4599463   530   0   2
14   4599335   658   0   2
16   4599308   683   2   2
18   4599278   695   18   4
20   4599248   694   49   4
22   4599232   659   98   6
24   4599221   613   154   7
26   4599215   562   211   7
28   4599214   507   266   8
30   4599212   418   357   8
32   4599210   346   430   9
34   4599210   251   525   9
36   4599210   176   600   9
38   4599210   105   671   9
40   4599207   70   709   9
42   4599204   43   739   9
44   4599202   31   753   9
46   4599196   29   761   9
48   4599189   28   769   9
50   4599186   28   772   9
52   4599179   34   773   9
54   4599169   42   775   9
56   4599159   52   775   9
58   4599153   57   776   9
60   4599133   74   779   9
62   4599119   86   781   9
64   4599103   98   785   9
66   4599084   116   786   9
68   4599055   143   788   9
70   4599036   157   793   9
72   4599008   177   801   9
74   4598980   200   806   9
76   4598947   223   816   9
78   4598905   248   833   9
80   4598858   290   838   9
82   4598818   313   855   9
84   4598760   362   864   9
86   4598695   402   889   9
88   4598630   449   906   10
90   4598556   492   937   10
92   4598480   547   957   11
94   4598398   601   985   11
96   4598305   668   1011   11
98   4598199   742   1043   11
100   4598080   820   1084   11
102   4597915   943   1126   11
104   4597755   1047   1182   11
106   4597592   1160   1231   12
108   4597374   1311   1298   12
110   4597116   1506   1361   12
112   4596823   1736   1424   12
114   4596501   1967   1513   14
116   4596124   2249   1606   16
118   4595729   2557   1690   19
120   4595243   2929   1802   21
122   4594714   3335   1922   24
124   4594046   3849   2074   26
126   4593289   4443   2236   27
128   4592456   5096   2415   28
130   4591549   5796   2619   31
132   4590463   6618   2883   31
134   4589275   7523   3162   35
136   4587885   8586   3485   39
138   4586342   9750   3860   43
140   4584580   11070   4298   47
142   4582536   12593   4812   54
144   4580196   14356   5383   60
146   4577524   16411   5994   66
148   4574522   18685   6717   71
150   4571192   21169   7555   79
152   4567313   24164   8434   84
154   4562997   27356   9544   98
156   4557966   31100   10819   110
158   4552373   35304   12193   125
160   4545917   40171   13763   144
162   4538688   45600   15542   165
164   4530453   51785   17565   192
166   4521124   58751   19897   223
168   4510793   66385   22568   249
170   4499121   75032   25559   283
172   4485956   84768   28945   326
174   4470718   96118   32784   375
176   4453804   108552   37197   442
178   4434973   122294   42239   489
180   4413970   137564   47908   553
182   4390234   154798   54344   619
184   4364077   173619   61609   690
186   4334606   194832   69790   767
188   4302351   217730   79058   856
190   4266444   243043   89548   960
192   4227036   270517   101381   1061
194   4184178   299778   114833   1206
196   4137337   331463   129820   1375
198   4086644   365292   146533   1526
200   4032296   400286   165714   1699
202   3974367   436735   186961   1932
204   3912579   474799   210436   2181
206   3847524   513324   236731   2416
208   3779776   551563   265966   2690
210   3709074   589593   298367   2961
212   3636649   625813   334260   3273
214   3563091   659991   373314   3599
216   3488647   691289   416116   3943
218   3413799   719289   462598   4309
220   3339470   742851   512961   4713
222   3266298   761556   567018   5123
224   3195136   774759   624511   5589
226   3126259   782209   685503   6024
228   3059251   784375   749876   6493
230   2995403   780566   817064   6962
232   2935159   771176   886245   7415
234   2878396   755846   957897   7856
236   2825648   734922   1031098   8327
238   2776678   710347   1104200   8770
240   2731565   681419   1177819   9192
242   2690229   648990   1251156   9620
244   2652104   614508   1323340   10043
246   2617505   578251   1393803   10436
248   2586492   540476   1462251   10776
250   2558397   502180   1528278   11140
252   2532949   464169   1591423   11454
254   2510258   426881   1651073   11783
256   2490061   390358   1707466   12110
258   2471877   355618   1760113   12387
260   2455951   322401   1809016   12627
262   2441871   291240   1854043   12841
264   2429299   262456   1895227   13013
266   2418242   235863   1932725   13165
268   2408409   211212   1967046   13328
270   2399725   188587   1998212   13471
272   2392200   167885   2026305   13605
274   2385481   149261   2051533   13720
276   2379749   131932   2074493   13821
278   2374512   116848   2094738   13897
280   2370057   103173   2112791   13974
282   2366118   91015   2128827   14035
284   2362751   80125   2143019   14100
286   2359734   70537   2155566   14158
288   2357115   61937   2166733   14210
290   2354807   54377   2176551   14260
292   2352740   47768   2185208   14279
294   2350928   41935   2192838   14294
296   2349333   36843   2199502   14317
298   2347943   32299   2205409   14344
300   2346675   28388   2210571   14361
302   2345622   24845   2215146   14382
304   2344672   21839   2219086   14398
306   2343816   19202   2222566   14411
308   2343115   16815   2225641   14424
310   2342466   14866   2228229   14434
312   2341876   13113   2230565   14441
314   2341407   11505   2232633   14450
316   2341010   10024   2234499   14462
318   2340649   8786   2236090   14470
320   2340333   7686   2237500   14476
322   2340045   6708   2238763   14479
324   2339812   5879   2239824   14480
326   2339603   5123   2240784   14485
328   2339426   4488   2241595   14486
330   2339300   3866   2242340   14489
332   2339157   3344   2242998   14496
334   2339052   2885   2243561   14497
336   2338965   2491   2244039   14500
338   2338874   2172   2244447   14502
340   2338798   1911   2244782   14504
342   2338735   1619   2245137   14504
344   2338679   1412   2245400   14504
346   2338620   1218   2245653   14504
348   2338570   1052   2245868   14505
350   2338531   914   2246044   14506
352   2338499   802   2246188   14506
354   2338471   707   2246310   14507
356   2338437   636   2246415   14507
358   2338415   561   2246512   14507
360   2338386   502   2246600   14507
362   2338371   433   2246684   14507
364   2338349   401   2246738   14507
366   2338331   339   2246818   14507
368   2338317   301   2246870   14507
370   2338303   273   2246912   14507
372   2338289   250   2246949   14507
374   2338282   215   2246991   14507
376   2338273   193   2247022   14507
378   2338263   172   2247053   14507
380   2338256   156   2247076   14507
382   2338255   140   2247093   14507
384   2338251   123   2247114   14507
386   2338248   105   2247135   14507
388   2338242   88   2247158   14507
390   2338239   75   2247174   14507
392   2338231   70   2247187   14507
394   2338228   60   2247200   14507
396   2338224   62   2247202   14507
398   2338221   55   2247212   14507
