Days  Uninfected Infected  Recovered  Deaths
0   4599885   110   0   0
2   4599849   146   0   0
4   4599809   186   0   0
6   4599740   255   0   0
8   4599675   320   0   0
10   4599613   382   0   0
12   4599541   454   0   0
14   4599465   528   2   0
16   4599447   544   4   0
18   4599431   549   15   0
20   4599420   528   46   1
22   4599411   487   96   1
24   4599407   442   145   1
26   4599405   387   201   2
28   4599404   332   257   2
30   4599400   275   318   2
32   4599398   214   381   2
34   4599395   152   446   2
36   4599393   90   510   2
38   4599391   63   539   2
40   4599387   54   552   2
42   4599384   41   568   2
44   4599377   35   581   2
46   4599373   33   587   2
48   4599367   38   588   2
50   4599359   43   591   2
52   4599354   46   593   2
54   4599349   48   596   2
56   4599341   55   597   2
58   4599335   59   599   2
60   4599330   60   602   3
62   4599326   59   606   4
64   4599320   61   610   4
66   4599317   58   616   4
68   4599312   55   624   4
70   4599308   55   628   4
72   4599308   47   636   4
74   4599305   45   641   4
76   4599303   44   644   4
78   4599301   41   649   4
80   4599299   35   657   4
82   4599299   32   660   4
84   4599298   29   664   4
86   4599296   25   670   4
88   4599295   23   673   4
90   4599294   19   678   4
92   4599292   17   682   4
94   4599292   15   684   4
96   4599292   15   684   4
98   4599292   11   688   4
100   4599290   10   691   4
102   4599289   11   691   4
104   4599287   13   691   4
106   4599286   12   693   4
108   4599285   10   696   4
110   4599283   11   697   4
112   4599281   12   698   4
114   4599280   13   698   4
116   4599279   13   699   4
118   4599275   17   699   4
120   4599274   17   700   4
122   4599273   18   700   4
124   4599270   21   700   4
126   4599265   25   701   4
128   4599263   23   705   4
130   4599262   24   705   4
132   4599259   25   707   4
134   4599254   28   709   4
136   4599253   27   711   4
138   4599249   31   711   4
140   4599247   31   713   4
142   4599243   30   718   4
144   4599241   30   720   4
146   4599237   32   722   4
148   4599236   33   722   4
150   4599235   32   724   4
152   4599234   28   729   4
154   4599232   25   734   4
156   4599230   23   738   4
158   4599223   30   738   4
160   4599220   31   740   4
162   4599219   27   745   4
164   4599219   25   747   4
166   4599216   26   749   4
168   4599214   26   751   4
170   4599212   26   753   4
172   4599211   25   755   4
174   4599210   25   756   4
176   4599210   23   758   4
178   4599209   17   765   4
180   4599206   20   765   4
182   4599204   17   770   4
184   4599202   17   772   4
186   4599201   15   775   4
188   4599200   15   776   4
190   4599197   15   779   4
192   4599195   17   779   4
194   4599191   20   780   4
196   4599188   22   781   4
198   4599185   24   782   4
200   4599185   23   783   4
202   4599184   22   785   4
204   4599184   21   786   4
206   4599182   21   788   4
208   4599181   21   789   4
210   4599179   20   792   4
212   4599178   21   792   4
214   4599177   19   795   4
216   4599176   17   798   4
218   4599175   15   801   4
220   4599174   12   805   4
222   4599174   12   805   4
224   4599173   12   806   4
226   4599173   10   807   5
228   4599173   10   807   5
230   4599173   7   810   5
232   4599171   9   810   5
234   4599171   9   810   5
236   4599170   6   814   5
238   4599170   6   814   5
240   4599169   5   816   5
242   4599167   7   816   5
244   4599165   8   817   5
246   4599165   8   817   5
248   4599162   11   817   5
250   4599161   12   817   5
252   4599161   12   817   5
254   4599160   12   818   5
256   4599158   14   818   5
258   4599158   12   820   5
260   4599158   12   820   5
262   4599157   12   821   5
264   4599157   12   821   5
266   4599157   10   823   5
268   4599157   10   823   5
270   4599156   8   826   5
272   4599156   6   828   5
274   4599156   6   828   5
276   4599156   4   830   5
278   4599156   3   831   5
280   4599156   3   831   5
282   4599156   2   832   5
284   4599156   2   832   5
286   4599156   1   833   5
288   4599156   1   833   5
290   4599156   1   833   5
292   4599156   0   834   5
294   4599156   0   834   5
296   4599156   0   834   5
298   4599156   0   834   5
300   4599156   0   834   5
302   4599156   0   834   5
304   4599156   0   834   5
306   4599156   0   834   5
308   4599156   0   834   5
310   4599156   0   834   5
312   4599156   0   834   5
314   4599156   0   834   5
316   4599156   0   834   5
318   4599156   0   834   5
320   4599156   0   834   5
322   4599156   0   834   5
324   4599156   0   834   5
326   4599156   0   834   5
328   4599156   0   834   5
330   4599156   0   834   5
332   4599156   0   834   5
334   4599156   0   834   5
336   4599156   0   834   5
338   4599156   0   834   5
340   4599156   0   834   5
342   4599156   0   834   5
344   4599156   0   834   5
346   4599156   0   834   5
348   4599156   0   834   5
350   4599156   0   834   5
352   4599156   0   834   5
354   4599156   0   834   5
356   4599156   0   834   5
358   4599156   0   834   5
360   4599156   0   834   5
362   4599156   0   834   5
364   4599156   0   834   5
366   4599156   0   834   5
368   4599156   0   834   5
370   4599156   0   834   5
372   4599156   0   834   5
374   4599156   0   834   5
376   4599156   0   834   5
378   4599156   0   834   5
380   4599156   0   834   5
382   4599156   0   834   5
384   4599156   0   834   5
386   4599156   0   834   5
388   4599156   0   834   5
390   4599156   0   834   5
392   4599156   0   834   5
394   4599156   0   834   5
396   4599156   0   834   5
398   4599156   0   834   5
