Days  Uninfected Infected  Recovered  Deaths
0   4599878   117   0   0
2   4599845   150   0   0
4   4599794   201   0   0
6   4599727   268   0   0
8   4599659   336   0   0
10   4599573   422   0   0
12   4599482   513   0   0
14   4599383   611   1   0
16   4599273   718   4   0
18   4599158   815   21   1
20   4598998   945   50   2
22   4598848   1033   112   2
24   4598666   1167   159   3
26   4598485   1290   217   3
28   4598242   1477   271   5
30   4597956   1695   336   8
32   4597680   1882   424   9
34   4597313   2159   514   9
36   4596898   2482   605   10
38   4596420   2842   722   11
40   4595848   3303   832   12
42   4595257   3739   985   14
44   4594578   4247   1154   16
46   4593732   4922   1323   18
48   4592817   5631   1527   20
50   4591822   6384   1768   21
52   4590628   7306   2039   22
54   4589327   8295   2348   25
56   4587831   9431   2705   28
58   4586059   10798   3106   32
60   4584053   12285   3621   36
62   4581867   13945   4142   41
64   4579329   15843   4778   45
66   4576476   17990   5477   52
68   4573291   20365   6277   62
70   4569733   23002   7190   70
72   4565504   26223   8192   76
74   4560706   29781   9420   88
76   4555345   33763   10785   102
78   4549346   38251   12285   113
80   4542450   43396   14016   133
82   4534663   49223   15955   154
84   4525795   55792   18229   179
86   4515716   63268   20802   209
88   4504332   71731   23704   228
90   4491718   81094   26926   257
92   4477170   91902   30640   283
94   4460638   104254   34763   340
96   4442319   117810   39483   383
98   4421901   132733   44935   426
100   4398774   149605   51122   494
102   4373299   168213   57917   566
104   4344752   188805   65781   657
106   4313134   211422   74701   738
108   4278464   235916   84769   846
110   4239953   262946   96137   959
112   4198179   291538   109174   1104
114   4152231   322868   123655   1241
116   4102699   355847   140032   1417
118   4049461   390386   158544   1604
120   3992611   426414   179175   1795
122   3932020   463866   202087   2022
124   3868157   501941   227639   2258
126   3800883   540614   255976   2522
128   3730665   578881   287605   2844
130   3658136   616496   322215   3148
132   3584342   651756   360423   3474
134   3509322   684634   402181   3858
136   3433978   714176   447594   4247
138   3358611   739687   497035   4662
140   3284553   760356   550005   5081
142   3211752   776355   606391   5497
144   3141826   786072   666180   5917
146   3074242   789969   729436   6348
148   3009590   787941   795617   6847
150   2948379   779510   864771   7335
152   2891097   764570   936528   7800
154   2837270   744550   1009923   8252
156   2787635   719817   1083866   8677
158   2741388   691574   1157918   9115
160   2699219   658883   1232361   9532
162   2660579   623684   1305774   9958
