Days  Uninfected Infected  Recovered  Deaths
164   2625590   586872   1377163   10370
166   2593807   548526   1446919   10743
168   2565287   510157   1513434   11117
170   2539590   471293   1577680   11432
172   2516340   434019   1637890   11746
174   2495618   397231   1695130   12016
176   2477076   362041   1748610   12268
178   2460742   328915   1797842   12496
180   2446155   297429   1843679   12732
182   2433212   267841   1886023   12919
184   2421763   241049   1924090   13093
186   2411770   215723   1959265   13237
188   2402751   192830   1991032   13382
190   2395012   171990   2019484   13509
192   2388201   152900   2045264   13630
194   2382052   135750   2068463   13730
196   2376760   120348   2089067   13820
198   2372177   106317   2107604   13897
200   2368033   94101   2123895   13966
202   2364487   82759   2138720   14029
204   2361441   72858   2151610   14086
206   2358699   64114   2163059   14123
208   2356268   56236   2173325   14166
210   2354191   49325   2182269   14210
212   2352326   43276   2190150   14243
214   2350686   38066   2196972   14271
216   2349316   33371   2203016   14292
218   2348079   29124   2208474   14318
220   2347000   25433   2213232   14330
222   2346047   22360   2217247   14341
224   2345164   19570   2220897   14364
226   2344442   17210   2223961   14382
228   2343744   15220   2226634   14397
230   2343134   13388   2229064   14409
232   2342629   11753   2231199   14414
234   2342145   10324   2233108   14418
236   2341765   9106   2234694   14430
238   2341392   8008   2236162   14433
240   2341073   7061   2237424   14437
242   2340821   6246   2238487   14441
244   2340604   5514   2239433   14444
246   2340385   4866   2240296   14448
248   2340215   4316   2241009   14455
250   2340057   3743   2241736   14459
252   2339931   3237   2242368   14459
254   2339811   2847   2242876   14461
256   2339714   2503   2243315   14463
258   2339618   2185   2243728   14464
260   2339540   1880   2244110   14465
262   2339467   1633   2244430   14465
264   2339405   1434   2244691   14465
266   2339349   1276   2244903   14467
268   2339291   1127   2245108   14469
270   2339236   982   2245306   14471
272   2339198   872   2245454   14471
274   2339174   772   2245576   14473
276   2339144   667   2245711   14473
278   2339117   599   2245806   14473
280   2339086   541   2245895   14473
282   2339051   493   2245978   14473
284   2339028   436   2246058   14473
286   2339004   397   2246121   14473
288   2338984   362   2246176   14473
290   2338962   337   2246223   14473
292   2338943   309   2246268   14475
294   2338920   295   2246304   14476
296   2338902   285   2246332   14476
298   2338894   249   2246375   14477
300   2338883   233   2246402   14477
302   2338869   216   2246433   14477
304   2338858   199   2246461   14477
306   2338848   184   2246486   14477
308   2338836   170   2246511   14478
310   2338829   153   2246535   14478
312   2338818   143   2246556   14478
314   2338811   132   2246574   14478
316   2338805   123   2246589   14478
318   2338795   111   2246611   14478
320   2338792   98   2246627   14478
322   2338787   94   2246636   14478
324   2338786   83   2246648   14478
326   2338781   71   2246665   14478
328   2338777   63   2246677   14478
330   2338774   61   2246682   14478
332   2338772   53   2246692   14478
334   2338769   53   2246695   14478
336   2338766   47   2246704   14478
338   2338763   37   2246717   14478
340   2338759   35   2246723   14478
342   2338757   32   2246728   14478
344   2338749   38   2246730   14478
346   2338747   38   2246732   14478
348   2338743   41   2246733   14478
350   2338742   37   2246738   14478
352   2338742   35   2246740   14478
354   2338740   36   2246741   14478
356   2338738   33   2246746   14478
358   2338736   28   2246753   14478
360   2338736   26   2246755   14478
362   2338735   25   2246757   14478
364   2338734   21   2246762   14478
366   2338733   15   2246769   14478
368   2338730   16   2246771   14478
370   2338729   15   2246773   14478
372   2338728   14   2246775   14478
374   2338726   14   2246777   14478
376   2338725   14   2246778   14478
378   2338725   12   2246780   14478
380   2338725   11   2246781   14478
382   2338725   10   2246782   14478
384   2338724   10   2246783   14478
386   2338723   10   2246784   14478
388   2338723   9   2246785   14478
390   2338722   9   2246786   14478
392   2338722   7   2246788   14478
394   2338722   6   2246789   14478
396   2338722   4   2246791   14478
398   2338722   3   2246792   14478
